Ticker,Date,Horizon,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast
MSFT,2023-11-17,30,365.6989135742188,371.5664961820206,301.5724150993306,372.114270220131,
MSFT,2023-11-20,30,373.2037048339844,371.2188216762978,301.13436981288834,371.3878144998533,
MSFT,2023-11-21,30,368.8827209472656,371.3311103368804,300.8951828490719,372.07770291561656,
MSFT,2023-11-22,30,373.6090698242188,371.4065846204568,300.9947697210926,371.7431870302848,
MSFT,2023-11-23,30,,371.679106948191,300.4127512321014,372.332454240672,
MSFT,2023-11-24,30,373.1937255859375,371.6249366671033,300.3497050762554,372.361135204649,
MSFT,2023-11-27,30,374.3605346679688,371.60298962172936,300.09738910227543,372.5919922570628,
MSFT,2023-11-28,30,378.4046020507813,371.6091878077825,299.6564675492672,372.5646951597459,
MSFT,2023-11-29,30,374.5978393554688,371.6162014379287,299.1158687956847,372.7758077452109,
MSFT,2023-11-30,30,374.65716552734375,371.62704742123856,298.8063169355924,372.7870159035273,
MSFT,2023-12-01,30,370.30657958984375,371.6228886069051,298.8686733737412,373.1930502504159,
MSFT,2023-12-04,30,364.9967956542969,371.62182406960295,298.28289199358017,373.1286472213689,
MSFT,2023-12-05,30,368.3388671875,371.6222943382692,298.2492539421819,373.3473860791126,
MSFT,2023-12-06,30,364.66064453125,371.6227663045069,298.05858714076527,373.3537811333626,
MSFT,2023-12-07,30,366.7865295410156,371.6231518688231,297.71000213550576,373.5319332661314,
MSFT,2023-12-08,30,370.0296936035156,371.6228889552296,297.2902728371551,373.7976606323249,
MSFT,2023-12-11,30,367.132568359375,371.6228496617287,297.12740417059433,373.8497918474914,
MSFT,2023-12-12,30,370.1780090332031,371.6228847873185,297.3590222353539,373.9720643679047,
MSFT,2023-12-13,30,370.1681213378906,371.622911283084,296.9613896537278,374.0583196290399,
MSFT,2023-12-14,30,361.8228454589844,371.622922089148,297.13071100289244,374.1702898857884,
MSFT,2023-12-15,30,366.5690002441406,371.6229072368079,297.153432045469,374.4907779084219,
MSFT,2023-12-18,30,368.4674072265625,371.6229065113781,297.02406276145217,374.49757096934303,
MSFT,2023-12-19,30,369.070556640625,371.6229088830397,296.824650935228,374.65738701497713,
MSFT,2023-12-20,30,366.4601440429688,371.62291016284047,296.8784463796311,374.7125534329821,
MSFT,2023-12-21,30,369.347412109375,371.6229102713432,297.31838935700426,374.8502661633332,
MSFT,2023-12-22,30,370.3757629394531,371.6229095032569,297.1162237757358,375.1494369158244,
MSFT,2023-12-26,30,370.4548645019531,371.6229095501611,297.4638979499312,375.1738821822789,
MSFT,2023-12-27,30,369.8714904785156,371.6229096944783,297.64395456427815,375.3190810888454,
MSFT,2023-12-28,30,371.0679016113281,371.622909746418,297.647437857293,375.3863514220218,
MSFT,2023-12-29,30,371.8193664550781,371.6229097313844,297.5534429143973,375.514041316686,
