Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast
2023-04-21,133.80795288085938,134.43687660394627,109.56345834079964,134.5320182733692
2023-04-24,133.98886108398438,134.34775739216047,109.81993144037612,134.55095828429205
2023-04-25,131.07542419433594,134.4663552575113,109.6467014822277,134.66341012948843
2023-04-26,128.75230407714844,134.46193416815322,109.10877528055408,134.6778447440718
2023-04-27,130.48512268066406,134.43377916690173,108.9614199465994,134.68884844516074
2023-04-28,131.61813354492188,134.45650487143183,108.68380129800951,134.8096537296212
2023-05-01,134.43630981445312,134.4420119895088,108.49369391141158,134.79073728121682
2023-05-02,132.26556396484375,134.45081727214347,108.21337731281147,134.84876515608627
2023-05-03,129.4663848876953,134.45022889619224,108.4080459016978,134.869961118366
2023-05-04,127.69547271728516,134.44853363267086,108.18325012351688,134.896845569362
2023-05-05,130.1899871826172,134.4503854216459,107.60559667165168,135.004171612343
2023-05-08,130.50418090820312,134.44896658501963,107.43182225082464,134.98372136713746
2023-05-09,129.8757781982422,134.4496671866401,107.14238574653596,135.0396025345155
2023-05-10,129.9424285888672,134.44955696387916,106.95613351422688,135.06107718165177
2023-05-11,129.53302001953125,134.44945142373209,106.69615374718688,135.0885848294216
2023-05-12,127.67643737792967,134.4496085085105,106.92814895324926,135.19537917635336
2023-05-15,128.75230407714844,134.44948555490333,106.75784541271044,135.17486923381537
2023-05-16,127.88591003417967,134.44954602950136,106.2516686351488,135.23066688757646
2023-05-17,131.8180694580078,134.44953146137806,106.16580042052054,135.25215224551806
2023-05-18,132.81776428222656,134.44952473686962,105.97976324183436,135.27968421599945
2023-05-19,132.51309204101562,134.44953762701095,105.91108730279032,135.38645778520467
2023-05-22,131.41819763183594,134.44952727299903,105.7811766102934,135.36594551540367
2023-05-23,130.04718017578125,134.44953268262643,106.15370319568116,135.42173987663173
2023-05-24,128.85704040527344,134.44953107157585,106.13204817336197,135.44322565466533
2023-05-25,129.17124938964844,134.4495306756952,105.78001818141972,135.4707585829116
2023-05-26,130.38038635253906,134.4495317002848,105.85095205373248,135.577531336705
2023-05-29,,134.44953083187224,105.82136241770291,135.55701897484852
2023-05-30,130.87547302246094,134.44953131692034,105.90566630374109,135.61281320729873
2023-05-31,129.2093048095703,134.44953115276482,105.92211962628112,135.63429900193245
2023-06-01,130.98974609375,134.44953113498175,106.43128301494173,135.66183196763578
2023-06-02,133.74131774902344,134.44953121464346,106.53353589774768,135.76860468944574
2023-06-05,132.42739868164062,134.44953114197835,106.28986551074006,135.7480923240039
2023-06-06,132.6654510498047,134.44953118508062,106.4510437811733,135.80388655140368
